userName,at,content,score,thumbsUpCount
Colton S,2024-12-19T04:12:11,"I've been using Lose-It back and forth. I lose weight then I gain it and I come back. Each time has gotten easier than the last, and this time I'm on pace to reach my goal with the assist of exercise. The app has a lot of customization and plenty of features making it easy to use while also providing a lot of features. Having premium is in my opinion worth it, as the extra tracking helped me to reduce frequent cravings. overall it's a 10/10 for me. Beats any diet or cook book I've used.",5,350
Doug Osgood,2024-10-06T19:59:32,"The voice entry option is GREAT in the app. A lot of times knowing I can just rattle off the things I remember eating for a meal and that it'll get them right (including amount) super quick is a big thing that has kept me going. I DO pay for the premium version, but it also feels worth it. They have a lifetime premium option as well if that is something you are looking for. This app has grown a LOT since I had started using it about 15 years ago on an iPod touch 😁",5,196
Karen B,2026-03-30T23:23:49,"I have used this app for years and have the lifetimemembership. It has had some updates thst have had bugs, but they fix them pretty quickly. This app has helped me monitor my sugar, protein, fiber, cholesterol, and carbs to be healthier and discuss my habits with my doctors. I do wish it would do something when you hit a weight goal or a have a ""good week"". Other than that I really like this app.",5,13
Deborah Doyle Brown,2026-03-10T14:03:39,"I looked at a ton of tracking apps. This is the most complete and easiest to use app for tracking foods, weight, water, sleep etc. It's so easy to use. It includes ways to enter your food with voice or a photo and it's very reasonably priced. Since I installed it and chose the type of food plan that I want to follow, such as standard, keto, GLP-1 etc. it sends me tips and food ideas each day related to the plan I chose. Highly recommend! I love this app ❤️",5,3
Suavé ConnXion,2026-03-03T05:50:19,"Great app overall. Wish it had more stores that had certain items you'd be looking for, but I know it's impossible to get all the stores and all the foodsin the world. lol. If it doesn't have, let's say a restaurant item that you can't scan, I look for something comparable. Not an exact science but for the most part works with keeping you right around the calories the food may have been.",5,1
Alexandra Babb,2026-03-02T09:12:22,I've tried several different apps for food tracking and calorie counting and I like user friendly of this best. I find that snapping a photo of my food is probably 80% correct with what's on my plate and measurements. I have had no issues with scanning a barcode. I do wish there was more learning about different macros and how to eat better in each category.,5,1
Cindy Taylor,2026-02-09T17:07:31,"This app uses generic clip art pictures for food and food types, probably to prevent copyright issues, but it will let you upload photos of your meals and keep them with your logged meal. The nutrition info for each food item is specific and editable, as products change over time. The meal summaries and daily summaries are easy to view. I really like the simple method to track water intake, also, and the other tracking options offered, including custom foods and recipes.",5,1
Michael Prokopchuk,2026-01-20T22:40:59,"Great app, easy to find all kinds of food, can easily count your calories without paying for the Premium features. premium features include fasting timer, water intake, macro nutrients tracking, and much more little conveniences but nothing that's required to be successful in tracking calories. Also it's really cheap as well since they always have deals for it.",5,2
Alex,2026-03-11T17:22:30,"I have an older phone (Galaxy S10+), and the most recent update fixed a lot of the odd lagging/crashing that was an issue before, so I'm really happy about that. I really like the look of the new UI as well! Thank you for continuing to update and fix issues with the app. I love LoseIt, I've bought the lifetime membership and its absolutely worth it. I've been able to lose 10 pounds since December. 🎉 I'm going to keep doing my best!",5,0
Kaitlyn Hull,2026-02-18T16:29:18,"so far so good! It's definitely a challenge sticking to 1,500 calories. But this app helps to keep track of them and I really like the food search option. I also love that you can scan the bar code on the food you're wanting to add and it will pull up all the details and nutritional information. Super easy to use so far and I already lost a pound!",5,0
