userName,at,content,score,thumbsUpCount
Anonymous,2023-11-03T02:33:30,ممتاز جدا افادني بحساب سعراتي بشكل سهل لأنه يحفظ لك الوجبات الي تضيفها ويفكك من الحساب,5,3
مستخدم Google,2018-09-30T12:28:30,التطبيق جميل يمكن لاشخص تثبيته بسهوله فائد وافضل ما يميز التطبيق طريق تفعيل المبسطة..,5,26
Sayed Diab,2021-10-06T22:30:19,رائع جدا، ولكن ارجو اضافة اللغة العربية في اقرب وقت,5,127
Zainab MH,2021-08-26T12:46:57,برنامج ممتاز لحساب السعرات الحراريه والجميل ان تجد صور تدعم اختيارك وتسهل عليك فهم البرنامج,5,19
AbuZyid,2020-11-22T15:01:03,يوجد مشكله مع التحديث الاخير لا يعمل البرنامج الا اذا كان متصل بالانترنت ارجو حل هذه المشكله شكرا,5,37
مستخدم Google,2019-11-20T07:41:57,برنامج ممتاز لتسجيل السعرات المستهلكة يوميا ولكنه باللغة الانجليزية,5,33
مستخدم Google,2020-04-13T23:13:19,افضل تطبيق فعلا لا يوجد لغه عربيه لاكن الواجهه بسيطه ولا تحتاج ترجمه,5,21
كلانVR4,2022-09-28T11:04:45,ممتاز جدا لكن لا يدعم اللغة العربية,5,35
Mahra,2024-12-15T20:56:27,هذا التطبيق ساعدني كثيرًا لأخسر وزني الزائد اشكر صاحب التطبيق و انصحكم بِتنزيله.,5,0
أحمد السبئي,2025-12-11T17:40:38,تطبيق أكثر من رائع يستحق 10 نجمات,5,2
Fo fo Ea,2024-05-02T01:56:58,جميل جدا ولكن اتمنى توجد اللغه العربيه,5,64
مستخدم Google,2019-07-29T03:24:48,برنامج رائع ويساعد على المحافظة على الصحة والجسم,5,13
malik Ibrahim,2023-03-01T14:17:27,ممتاز ويدعم اللغه العربيه في أغلب المنتجات,5,47
Suzan Saleh,2020-05-12T21:09:00,رائع جدا يساعد على خسارة الوزن وذلك بإعطائك السعرات ومقدرتك على ضبط سعراتك صراحه صارلي اسبوع خسرت ٥ كيلو,5,22
مستخدم Google,2020-02-25T20:42:18,من أجمل البرامج لمتابعة النظام الغذائي وحساب السعرات الحرارية في كل شيئ,5,24
مستخدم Google,2018-09-28T08:24:44,برنامج جداً جداً مفيد السعرات الحرارية,5,5
Hanen Mostafa,2021-05-01T16:19:18,لسة مجربتوش بس هو جميل جدا واللي جربه يحكيلنا عن التجربة والاحلى انه يكون من غير نت وباللغة العربية❤️❤️❤️❤️🥺🥺,5,6
