userName,at,content,score,thumbsUpCount
Maranda Rorie,2026-03-20T14:09:12,"IMHO the premium is worth the cost. I love how user friendly this app is and how much information it gives you. The barcode scanner and the ability to import recipes makes it easy to track. This app keeps up with all of the nutrients you eat each day making it easier to hit my goals. Out of all the calorie tracking apps I've tried, this one is the best. A lot of the other apps are moving to AI for tracking but I don't find that accurate and hate using it. So glad MFP doesn't use it.",5,139
Jon Mathison,2026-02-01T00:07:20,"So far so good. only used it a couple days but it tracts nutrition and gives you the protein, fat, and carbs that I was looking for. I love that tracking over meals, days, and hopefully in total. I am interested in whether I can download this information for later use. The app pumps you to use their paid version which allows you to scan barcodes, barcodes would be nice but trying to eat less processed foods.",5,27
Sabin Rai,2025-10-14T19:04:43,"I started using this app to cut some weight down and have continued after. It's very easy to use even with having a subscription option. It's still great for non spenders! Of course, some foods aren't logged correctly, but they let you log your own items in that situation. Also, the nutrition goals are averaged, so you can go over them pretty quickly. Depending on your activity levels, you can adjust it yourself instead to match your lifestyle.",5,38
Amanda P,2025-10-18T21:53:15,"They show the oldest weight first now?!? I don't care to scroll from 2013 down to 2025 to see current weights. I select the ""Week"" time frame and it only shows todays weight with a straight line in the graph. I select ""1 Month"" and it still shows all the way back to 2013. I keep having to log in. Please fix this. I love the app, but this is frustrating. Update: Issue has been fixed and I am back to loving the app I have been so loyal to for years! Thank you~",5,7
Sara Pelayo (CosmicPixel),2025-11-18T07:02:50,"This makes it much easier to log my meals for the day! like how you can add certain meals that you make/eat so that you don't have to calculate the calories every time. Previously I was just writing them down in a journal. I still log it in a journal for therapeutic reasons but this helps me to be able to log something right away so if I do write it down, I can go back to it to remember exactly what I ate. also being able to log workouts is very helpful too!",5,6
Amber Patterson,2025-12-11T20:19:20,Easy to use! I like that it sends gentle reminders. There are a lot of foods already listed in its database and the being able to snap a picture of the barcode and having it list everything is nice. My only gripe really is when creating a recipe you have to know roughly how many servings you are making and how much of each item. I don't usually measure.. I throw stuff in. I do highly suggest MyFitnessPal if you want to get serious about tracking things about your diet! It's very user friendly,5,37
Heather K,2025-11-21T01:44:50,"Great Fitness Tracking App! MyFitnessPal has just gotten better and better over time. The food tracking function is the best I've seen, it has all the foods & will figure out calories and macros from your own recipes. It can communicate with my galaxy watch and fit bit to keep all my data consolidated and together. The volume of workouts, fitness coaching and community is also excellent. I upgraded, but used the free version for years because its so feature packed. Highly recommend.",5,17
Gen,2025-10-22T03:29:50,Best $80 I have spent for physical health. I am still learning the convenience of logging in food that got better with updates since 2013. MFP premium is the greatest app I have ever used when it comes to looking at personal statistics on a daily intake of nutrition. I love it so much that I fell off my health journey and have come back to it due to it's essential use in my daily regimen. People complain about macro-counting to be a chore while I find it fairly easy with this app.,5,9
Brian Weaver,2025-11-07T04:04:33,"Just brilliant. So comprehensive, a massive database of foods and exercises. The free version is one of the best apps I've ever used, let alone the pay-for version. By tracking meals and snacks using this app, I dropped 10 lbs this summer and have kept it off, even through Halloween candy season.",5,1
T Boo,2026-03-10T00:19:00,I love(d) using MyFitnessPal to log daily calories and exercise. I even lost nearly 40 pounds. The new format is busy and messy making it harder to find things that were easily on the previous home screen. There are items I never use and I have to scroll down through a bunch of sections to get to exercise. And dashboard (Today) is no longer customizable. I prefer the charts/visual layout of the previous version. UPDATE: they listened to us and returned to previous layout! thank you!,5,0
