userName,at,content,score,thumbsUpCount
ba7bk 3ady,2026-01-23T16:04:18,تطبيق رائع جدا ويستحق اكثر من خمس نجوم، ولكن عندما قمت بتسجيل الدخول اصبحت الشاشه بنفسجيه وكلما دخلت التطبيق تصبح الشاشه بنفسجيه، هل يوجد حل لهذه المشكله؟ وشكرًا.,5,5
Mahmoud Hosaen,2023-03-18T00:42:59,تطبيق رائع وجيّد جدّاً .. إنهُ يستحق التقييم بخمسة نجوم 🔥 لكن هناك ملاحظة : لم يظهر لي طعاماً ما من خلال المسح بالكود ، وأريدُ أن أضيفه إلى قائمة الأطعمة لكن عندما أكتب القيمة الغذائية الخاصة بالطعام ، يخرج على الفور من التطبيق ولا أستطيع فعل ذلك. أرجو حل هذه المشكلة وإلا بخلاف ذلك التطبيق ممتاز . شكراً للمطورين والقائمين عليه 😍,5,295
Moussa Ragab,2021-02-22T19:14:30,بعدما تم إعادة الاقتران بين التطبيق وبين تطبيق الصحة من هواوى استطيع أن أقول إنه أفضل تطبيق على الاطلاق لمتابعة السعرات الحرارية والصيام. After sync between huawei health and yazio i can say yazio is the best app for lifstyle and health,5,148
Rokia Mohammed,2025-04-12T15:59:46,التطبيق رائع و جيد ولكن يحتاج لاضافه استشاره بمعنى أن استشير التطبيق هل من الجيد أن اأكل هذه الاكله و ايضا انا مواليد 2012 و أطر لإضافه 2010 و أن يوجد في التطبيق لغه عربيه لأن معظم مستخدميه عرب واخيرا يرجى وضع تمارين مع وضع عدد السعرات التي نخسرها في هذه التمرين و مع حل هذه المشكله سيكون هذا افضل تطبيق وياخذ مليار نجمه @Yazyo,5,157
رواسي ناجي,2025-11-07T14:43:45,لو كان باللغة العربية لكان افضل,5,58
abdeljalil tourabi,2026-02-26T16:30:41,بداية رائعة انه قيد التجربة,5,1
Hbdjdjdhdj Hdjdj,2025-12-29T13:17:14,من أجمل برامج,5,0
Saleh Bawazir,2026-01-14T23:49:19,تحت التجربة,5,0
Retag,2024-12-04T16:43:46,مرا حلو يساعد مره بس مافي عربي,5,48
sayed Elshamy,2020-11-15T21:31:05,ممتاز هل في طريقة الربط بينه بين هواوي هيلث,5,46
عوض سالم,2020-12-24T00:40:34,تم التثبيت ولم احصل علي نقاط,5,7
Kanan Omer,2020-12-24T16:12:58,هذا برنامج رائع جدآ جدآ جدآ جدآ جدآ,5,17
adam Zahaf,2025-05-01T19:14:00,رائع للغاية ♥️,5,1
ياسمين شيخاني,2020-07-24T18:21:54,حلو كتير ونزلت عليه ١٠ كيلو,5,44
ياسين احمد صالح,2025-09-19T03:52:42,افضل وصفه الاجتماعيه,5,2
O P CLAN,2020-12-25T03:47:35,السلام وعليكم ورحمة,5,6
ايلاف اسامه,2025-07-15T02:17:06,انصح به,5,1
عبد الوهاب البكور,2020-12-26T22:51:36,أفضل التطبيقات,5,4
Seham Same,2024-06-18T22:57:53,سومه سالم,5,2
Say Ali,2020-12-30T06:44:46,روقه ثهخ صلى,5,3
haval kamal,2026-03-11T02:30:16,جيد جداً,5,0
Nesreen Malak,2026-02-19T00:18:19,Nice I love it,5,0
osama naseer,2026-02-16T21:04:50,god lak,5,0
حسين علي,2026-01-14T16:27:14,جيد جدا,5,0
Asma Rajhi,2025-12-29T23:53:32,I liked ❤️,5,0
Mohamed AGpoli,2025-12-29T16:33:38,مته,5,0
Mayan Albalbisi,2026-01-03T01:48:51,good app,5,0
ali alhene,2025-10-22T22:19:35,Very good,5,1
Big Max,2025-10-08T16:10:07,great app,5,1
Saleh Kader,2025-10-01T00:18:18,Sher gut,5,1
Mohamd Mooh,2025-11-15T16:06:22,لم أجربه لكن هذا تعليقي من المظهر الخارجي,5,4
اعتدال محمد,2025-09-24T19:27:48,اعيدال,5,1
محمد رضا,2025-09-19T16:31:36,رضامحمد عن,5,1
Rawad Faru,2025-08-22T22:21:41,beste was gibt,5,1
يزن محمد,2025-08-22T07:09:56,bll♥️♥️,5,1
بين المفوري,2025-08-13T02:50:01,sweet,5,1
Siro,2025-08-09T02:46:47,جميل,5,8
Yahya Meyed,2025-08-11T14:10:58,غير حياتي,5,1
ملاذ شمو,2025-07-30T17:42:02,ممتاز,5,1
Marny Bougainvillea,2025-07-24T01:04:59,it's very nice💪🏻💙,5,12
yonis mstafa,2025-07-29T01:51:06,سبلة,5,1
Momom Mm,2025-07-30T01:18:25,🥰🥰,5,1
طلبه جمعه,2025-07-22T12:27:26,ممتاز,5,1
Zaki Rca,2025-07-18T14:58:26,OK,5,1
Bishoy Lotfy,2025-07-13T11:36:28,رائع هايكون اروع لو بلعربي,5,1
داريــن ĴÃЌ ĴÃЌ,2025-07-07T17:46:37,جميل,5,1
Heba Elgably,2025-07-04T01:46:14,Download YAZIO,5,1
مؤم مؤمن,2025-06-27T04:46:09,goooooos,5,1
