userName,at,content,score,thumbsUpCount
Jeremy & Bernadette Wimble,2026-02-09T16:15:49,"I've been using this app for over a month now. It's fantastic. I've lost 9lbs. The system works if you stick to it. If you're the kind of person that is motivated by visual tools and data, this is for you! A small food scale is helpful (Amazon for like $8). Foods that I had been eating previously were healthy, whole foods, but my portions were too large, and my ""treats"" were more calorie dense than I realized. This app raises awareness about what you're putting in your body. Highly recommend!",5,16
C E,2020-07-27T07:45:45,"Out of all of the similar apps out there, this is my favorite. I always have trouble with other apps and it's barcode scanning and, adding meals. This is the only app that I can actually add foods into a meal instead of logging each and every food separately. It also easily gives me suggestions and let's me search for foods. I also enjoy the mini challenges, such as going without chocolate for 21 days. It really keeps me motivated. It has a lot of features that other apps just don't have.",5,126
A Google user,2019-05-05T00:38:51,"Outstanding app, even better than MyFitnessPal. Only wish I have is that it could add a collapsed view of the grocery list, i.e. if two recipes need chicken breast, just list the entire amount once, so I have a better overview when buying groceries. And this app is not just about weight loss - you care about healthy living, give this app a shot. It's amazing.",5,20
Barbara Krause,2024-08-05T18:07:04,"I was not sure about this application at first because of the price. I don't like paying out money for subscriptions but with some natural supplements and guidance from my chiropractor, I have totally changed my mind. This app has everything, water, fasting, tracking, exercise integration! So much easier to focus on a plan and make it work for you. I will be subscribing again next year!",5,95
A Google user,2019-05-08T05:51:29,"I've only used Yazio for one day and I already love it. Pros:no intrusive ads, its not only a calorie counter but a supportive coach, the water tracker motivates you throughout the day with messages that you'll want to reach your goal. It seamlessly syncs with Google fit so that calories burned transfer over to your meal plan. Cons: Food database needs work. Many food choices once scanned were not correct. But you are able to add the correct food item to the database.",5,96
A Google user,2020-02-17T20:43:37,"It is easy to record foods because so many people use this. But there are a lot of bad entries. I've put a few in, myself, good and bad, so one must be careful when sorting out which food applies or is accurate. I wish I could remove my bad-oops entries. I think these happen because we (I) don't understand what it's asking for and just want the calories, carb, fat, protein numbers--never mind the rest-- I want to get on with my day. I like the recipies, water tracker and weight tracker.",5,24
Eleana Vardaka,2025-10-01T09:10:15,"the best calorie tracking app I've tried, the premium price is great compared to other apps which also makes you want to stick to it more. only thing I wish was different is that you log the supplements/medicine as breakfast lunch or dinner and there isn't a different similar section for them, which I guess isn't a big issue but sometimes I kind of want to check back to see if I took them having them in a tab would make it easier. it also doesn't connect to Xiaomi bands which is an inconvenience",5,361
Radxrx,2026-02-24T11:22:57,"I've always been a little sceptical about such apps, but I guess I'm a stereotypical dude who decided to try it out and got nicely surprised. So far, I managed to lose 4 kg (8.8 lbs) in about 2 months. Of course, the app requires consequence. You need to be committed. Additionally, I run on the treadmill every other day. Still, the app is of great help. What I would personally improve is the possibility of editing the weight of meals scanned with the help of AI, not just the nutrients.",5,6
A MusicLover,2026-03-30T21:31:42,"Absolutely wonderful! I needed a low-effort but precise app for calorie and protein counting, and I got one. Happily paid for premium. Barcode scanner and AI are beyond helpful, and recipes are great! Keep up the great work! P.S. Almost forgot to add - looove the little suggestions I get after logging the meal!",5,1
Lara Coklin,2026-02-06T22:39:09,"This app was the only one that kept me accountable for tracking my nutrition. I have been using it for only a month, but i cant deny that it has helped me tremendously to stay on track. - It is easy to use - the bar code scanner works smoothly - the AI aspect is 80% accurate (better than i expected!) -the macro-micronutrient stat's are easy to follow along. - solid nutrition tips Overall, a great app if you use the premium version (85% off sale for yearly subscription is worth it!).",5,4
Hunter Koons,2026-03-28T20:12:29,"Just hit my 90 day mark and I'm down 16.7 pounds! I absolutely LOVE this app, it's been a very important tool in my health journey helping you make sure you're hitting protein goals and staying under calories. I highly recommend this to anyone trying to eat healthier or lose weight to become healthier.",5,1
Kirk Quade,2026-03-31T17:44:05,Edit: Fixed since today's update. Great! Since the last update I'm not able to choose any other language other than the system language. Before I was able to choose any language. Maybe you look into this. There is no other app on my device denying to change languages. Will update review when this works again.,5,6
Melissa Kaspar,2026-01-31T21:35:16,"I have been using Yazio for a few days now and it's the easiest food tracking app I've ever used. The AI picture tool is fantastic; you can adjust whatever was detected in easy text form. What I am missing is the option to edit a meal once it's logged, e.g. instead of 1 cup of rice to 1.5 cups etc. I would also like if I could ""tell"" the app that I am training for a half marathon on date xy, and that I train every Tuesday, Thursday and Sunday and thus need more carbs the day before",5,2
aime,2026-01-26T06:34:19,"I USED TO HATE THIS APP!!! I originally gave it a 1 star review because one of the updates were genuinely horrible 😭 BUT I actually really like it now. It's super stimulating and rewarding, so it doesn't feel really boring or forgettable. It's easy to use and understand. And premium is honestly 100% worthit, I got it for $15 AUD and it's amazing. The only con I can think of is the fasting system is annoying. I'd use a different app for tracking fasts, but other than that it's amazing!!!",5,1
